Variable,Standardized_Coefficient
BTCUSDT_Vol_LogGrowth,0.2769668175142032
EUR_USD_log_return,0.24232150477961953
EZ_D_Liquidity,0.17858710007910455
USD_CNY_log_return,0.15631401914392876
SP500,0.09882637121029189
USA_D_Growth,0.097714707411438
GlobalGold,0.0927612054555444
China_Rate_Level,0.07338599761445914
CSI300,0.07182239889561795
EZ_D_Inflation,0.06867432901178794
USA_D_Liquidity,0.06462907825077348
XRPUSDT_Log_Return,0.04994429845625256
SOLUSDT_Log_Return,0.0367717118952742
USA_Rate_Level,0.02931730638481309
ETHUSDT_Vol_LogGrowth,0.025817634509987634
BNBUSDT_Log_Return,0.014180625497931828
Global_Merchandise_Vol_USD_log_return,0.007882784946358573
CHN_D_Inflation,0.0
SOLUSDT_Vol_LogGrowth,-0.0037558497204683208
BTCUSDT_Log_Return,-0.09819847505209466
Global_Stablecoins_Mcap_USD_log_return,-0.10960539774033262
CHN_D_Liquidity,-0.11760373872851829
ETHUSDT_Log_Return,-0.1597864127396373
BNBUSDT_Vol_LogGrowth,-0.17024252105984128
EZ_D_Growth,-0.17910433453612823
MSCIEM,-0.18255059079954286
XRPUSDT_Vol_LogGrowth,-0.21724066947447793
Global_Gross_Revenue_USD_log_return,-0.26509466414416194
EUR_CNY_log_return,-0.35116428978022274
