Variable,Standardized_Coefficient
BTCUSDT_Vol_LogGrowth,0.26272480273654353
EUR_USD_log_return,0.23060246268472198
EZ_D_Liquidity,0.17514122820523176
USD_CNY_log_return,0.15012780449400762
USA_D_Growth,0.09693445787477796
SP500,0.09062098189384113
GlobalGold,0.08741476450494323
China_Rate_Level,0.07228081272246015
EZ_D_Inflation,0.0720991496209725
USA_D_Liquidity,0.06690629293265055
CSI300,0.06297121951229445
XRPUSDT_Log_Return,0.04806547821009255
SOLUSDT_Log_Return,0.03767219604570932
USA_Rate_Level,0.035772733966444245
ETHUSDT_Vol_LogGrowth,0.0339962092355876
BNBUSDT_Log_Return,0.014107440873613658
Global_Merchandise_Vol_USD_log_return,0.006589812285773756
CHN_D_Inflation,0.0020783586796130037
SOLUSDT_Vol_LogGrowth,-0.005654031137577866
BTCUSDT_Log_Return,-0.09589212921437647
Global_Stablecoins_Mcap_USD_log_return,-0.10963660846132833
CHN_D_Liquidity,-0.11640918795303985
ETHUSDT_Log_Return,-0.15941581920725442
MSCIEM,-0.16466978481676586
BNBUSDT_Vol_LogGrowth,-0.16749902317478008
EZ_D_Growth,-0.17847541778941395
XRPUSDT_Vol_LogGrowth,-0.21199702478513666
Global_Gross_Revenue_USD_log_return,-0.2614415982730133
EUR_CNY_log_return,-0.33946418704977177
