,0
ETHUSDT_Log_Return,0.19740259740259736
BTCUSDT_Log_Return,0.05974025974025965
SOLUSDT_Log_Return,0.04675324675324666
BTCUSDT_Vol_LogGrowth,0.020779220779220786
BNBUSDT_Log_Return,0.01558441558441559
BNBUSDT_Vol_LogGrowth,0.01558441558441559
XRPUSDT_Log_Return,0.012987012987012991
SOLUSDT_Vol_LogGrowth,0.0051948051948051965
SP500,0.0051948051948051965
MSCIEM,0.0025974025974025983
Global_Merchandise_Vol_USD_log_return,0.0025974025974025983
EZ_D_Liquidity,0.0025974025974025983
EZ_D_Growth,0.0
CHN_D_Inflation,0.0
CHN_D_Liquidity,0.0
EUR_USD_log_return,0.0
EZ_D_Inflation,0.0
USA_D_Growth,0.0
USA_Rate_Level,0.0
USA_D_Liquidity,0.0
CSI300,0.0
ETHUSDT_Vol_LogGrowth,0.0
USD_CNY_log_return,0.0
Global_Stablecoins_Mcap_USD_log_return,-0.0025974025974025983
XRPUSDT_Vol_LogGrowth,-0.0025974025974025983
EUR_CNY_log_return,-0.0025974025974025983
China_Rate_Level,-0.0051948051948051965
Global_Gross_Revenue_USD_log_return,-0.0051948051948051965
GlobalGold,-0.01558441558441559
